"","cyc_date","soh","q_a","q_u","cur_avg","n","u_vol","o_vol","gap"
"1","20220126",0.926598814012031,163.452030791722,105.772555555556,16.9794524212967,11213,3.39,3.893,0.503
"2","20220127",0.924797276175317,163.134239517326,105.721833333333,16.9788811563169,11208,3.388,3.892,0.504
"3","20220128",0.927264076921362,163.569383168928,105.737666666667,16.9859705488621,11205,3.387,3.89,0.503
"4","20220129",NA,NA,-Inf,NA,0,NA,NA,NA
"5","20220203",0.91702111158909,161.762524084315,91.4786666666667,17.0863961813842,9637,3.434,3.866,0.432
"6","20220204",0.925521507837263,163.261993982493,105.456611111111,16.9802218445299,11179,3.391,3.893,0.502
"7","20220205",0.926331030059234,163.404793702449,105.705333333333,16.9838079085959,11203,3.389,3.892,0.503
"8","20220207",0.93090168466016,164.211057174052,105.733944444444,17.0172657367668,11184,3.382,3.884,0.502
"9","20220208",0.923115761293726,162.837620292213,103.886,16.9794606374285,11013,3.393,3.889,0.496
"10","20220209",0.926386219059043,163.414529042015,107.162111111111,16.9754290240253,11363,3.385,3.895,0.51
"11","20220210",0.923525380924558,162.909877195092,105.650666666667,16.9689658249308,11207,3.39,3.894,0.504
"12","20220211",0.926208830249835,163.383237656071,105.691388888889,16.9739917915774,11208,3.389,3.892,0.503
"13","20220212",0.92573873487763,163.300312832414,105.600888888889,16.9791514068781,11195,3.388,3.891,0.503
"14","20220214",0.930770531658091,164.187921784487,105.679277777778,17.0145527728086,11180,3.381,3.883,0.502
"15","20220215",0.923550198792094,162.914255066925,103.869666666667,16.981416893733,11010,3.391,3.887,0.496
"16","20220216",0.928816448342256,163.843221487574,105.574444444444,17.0098460436806,11172,3.384,3.886,0.502
