cyc_date,soh
20200108,0.9717194
20200115,0.9712689
20200122,0.9708184
20200129,0.9703679
20200205,0.9699173
20200212,0.9694668
20200219,0.9690163
20200226,0.9685658
20200304,0.9681153
20200311,0.9676647
20200318,0.9672142
20200325,0.9667637
20200401,0.9663132
20200408,0.9658627
20200422,0.9649616
20200429,0.9645111
20200526,0.9640606
20200513,0.9636101
20200520,0.9631596
20200527,0.962709
20200603,0.9622585
20200610,0.961808
20200617,0.9613575
20200624,0.960907
20200701,0.9604564
20200708,0.9600059
20200715,0.9595554
20200722,0.9591049
20200729,0.9586544
20200805,0.9582038
20200819,0.9573028
20200826,0.9568523
20200909,0.9551077
20201007,0.9516184
20201014,0.9507461
20201021,0.9498737
20201028,0.9490014
20201104,0.9481291
20201111,0.9472568
20201118,0.9463845
20201125,0.9455121
20201209,0.9437675
20201216,0.9428952
20201223,0.9420229
20201230,0.9422992
20210126,0.9425755
20210113,0.9428518
20210120,0.9431282
20210127,0.9434045
20210210,0.9439572
20210217,0.9442335
20210224,0.9445098
20210310,0.9450625
20210317,0.9453388
20210324,0.9456152
20210331,0.9458915
20210407,0.9461678
20210414,0.9464442
20210421,0.9467205
20210428,0.9469968
20210512,0.9475495
20210526,0.9481021
20210602,0.9483785
20210609,0.9486548
20210616,0.9489311
20210623,0.9492075
20210630,0.9494838
20210707,0.9497601
20210728,0.9473977
20210804,0.9466102
20210811,0.9458228
20210818,0.9450353
20210825,0.9442478
20210901,0.9434604
20210908,0.9426729
20210915,0.9418854
20211013,0.9387355
20211020,0.9379481
20211027,0.9371606
20211103,0.9363731
20211110,0.9355857
20211117,0.9347982
20211124,0.9340107
20211201,0.9332232
20211208,0.9324358
20211215,0.9316483
20211222,0.9308608
20211229,0.9300734
